OBJECTID,Cnty_Name_UC,Cnty_Name_PC,Cnty_Number,Cnty_Number_Txt,Cnty_Form_Year,Cnty_Seat_UC,Cnty_Seat_PC,Cnty_FIPS_Number,Region,KYTC_District_Number,ADD_Number,ADD_Name,KVE_District_Number,SPCS_Zone,D_DISTRICT,FRA_CountyCode,KYTC_Section
1,ADAIR,Adair,1,001,1802,COLUMBIA,Columbia,1,SOUTH CENTRAL REGION,8,7,LAKE CUMBERLAND,2,SOUTH,Somerset,21001,S20
2,ALLEN,Allen,2,002,1815,SCOTTSVILLE,Scottsville,3,SOUTH CENTRAL REGION,3,4,BARREN RIVER,2,SOUTH,Bowling Green,21003,S40
3,ANDERSON,Anderson,3,003,1827,LAWRENCEBURG,Lawrenceburg,5,BLUEGRASS REGION,7,9,BLUEGRASS,4,NORTH,Lexington,21005,S07
4,BALLARD,Ballard,4,004,1842,WICKLIFFE,Wickliffe,7,WESTERN REGION,1,1,PURCHASE,1,SOUTH,Paducah,21007,S33
5,BARREN,Barren,5,005,1799,GLASGOW,Glasgow,9,SOUTH CENTRAL REGION,3,4,BARREN RIVER,2,SOUTH,Bowling Green,21009,S13
6,BATH,Bath,6,006,1811,OWINGSVILLE,Owingsville,11,NORTHEAST REGION,9,12,GATEWAY,6,NORTH,Flemingsburg,21011,S28
7,BELL,Bell,7,007,1867,PINEVILLE,Pineville,13,EAST REGION,11,10,CUMBERLAND VALLEY,7,SOUTH,Manchester,21013,S36
8,BOONE,Boone,8,008,1799,BURLINGTON,Burlington,15,NORTHERN KENTUCKY REGION,6,8,NORTHERN KENTUCKY,9,NORTH,Covington,21015,S04
9,BOURBON,Bourbon,9,009,1786,PARIS,Paris,17,BLUEGRASS REGION,7,9,BLUEGRASS,5,NORTH,Lexington,21017,S51
10,BOYD,Boyd,10,010,1860,CATLETTSBURG,Catlettsburg,19,NORTHEAST REGION,9,14,FIVCO,6,NORTH,Flemingsburg,21019,S01
11,BOYLE,Boyle,11,011,1842,DANVILLE,Danville,21,BLUEGRASS REGION,7,9,BLUEGRASS,5,SOUTH,Lexington,21021,S07
12,BRACKEN,Bracken,12,012,1797,BROOKSVILLE,Brooksville,23,NORTHEAST REGION,6,11,BUFFALO TRACE,9,NORTH,Covington,21023,S09
13,BREATHITT,Breathitt,13,013,1839,JACKSON,Jackson,25,EAST REGION,10,13,KENTUCKY RIVER,10,SOUTH,Jackson,21025,S19
14,BRECKINRIDGE,Breckinridge,14,014,1800,HARDINSBURG,Hardinsburg,27,SOUTH CENTRAL REGION,4,5,LINCOLN TRAIL,3,SOUTH,Elizabethtown,21027,S15
15,BULLITT,Bullitt,15,015,1797,SHEPHERDSVILLE,Shepherdsville,29,GREATER LOUISVILLE REGION,5,6,KIPDA,4,NORTH,Louisville,21029,S42
16,BUTLER,Butler,16,016,1810,MORGANTOWN,Morgantown,31,SOUTH CENTRAL REGION,3,4,BARREN RIVER,2,SOUTH,Bowling Green,21031,S39
17,CALDWELL,Caldwell,17,017,1809,PRINCETON,Princeton,33,WESTERN REGION,2,2,PENNYRILE,1,SOUTH,Madisonville,21033,S18
18,CALLOWAY,Calloway,18,018,1823,MURRAY,Murray,35,WESTERN REGION,1,1,PURCHASE,1,SOUTH,Paducah,21035,S29
19,CAMPBELL,Campbell,19,019,1795,NEWPORT,Newport,37,NORTHERN KENTUCKY REGION,6,8,NORTHERN KENTUCKY,9,NORTH,Covington,21037,S06
20,CARLISLE,Carlisle,20,020,1886,BARDWELL,Bardwell,39,WESTERN REGION,1,1,PURCHASE,1,SOUTH,Paducah,21039,S33
21,CARROLL,Carroll,21,021,1838,CARROLLTON,Carrollton,41,NORTHERN KENTUCKY REGION,6,8,NORTHERN KENTUCKY,9,NORTH,Covington,21041,S32
22,CARTER,Carter,22,022,1838,GRAYSON,Grayson,43,NORTHEAST REGION,9,14,FIVCO,6,NORTH,Flemingsburg,21043,S14
23,CASEY,Casey,23,023,1807,LIBERTY,Liberty,45,SOUTH CENTRAL REGION,8,7,LAKE CUMBERLAND,7,SOUTH,Somerset,21045,S44
24,CHRISTIAN,Christian,24,024,1797,HOPKINSVILLE,Hopkinsville,47,WESTERN REGION,2,2,PENNYRILE,1,SOUTH,Madisonville,21047,S18
25,CLARK,Clark,25,025,1793,WINCHESTER,Winchester,49,BLUEGRASS REGION,7,9,BLUEGRASS,5,NORTH,Lexington,21049,S51
26,CLAY,Clay,26,026,1807,MANCHESTER,Manchester,51,EAST REGION,11,10,CUMBERLAND VALLEY,7,SOUTH,Manchester,21051,S25
27,CLINTON,Clinton,27,027,1836,ALBANY,Albany,53,SOUTH CENTRAL REGION,8,7,LAKE CUMBERLAND,2,SOUTH,Somerset,21053,S27
28,CRITTENDEN,Crittenden,28,028,1842,MARION,Marion,55,WESTERN REGION,1,2,PENNYRILE,1,SOUTH,Paducah,21055,S43
29,CUMBERLAND,Cumberland,29,029,1799,BURKSVILLE,Burksville,57,SOUTH CENTRAL REGION,8,7,LAKE CUMBERLAND,2,SOUTH,Somerset,21057,S20
30,DAVIESS,Daviess,30,030,1815,OWENSBORO,Owensboro,59,WESTERN REGION,2,3,GREEN RIVER,8,SOUTH,Madisonville,21059,S31
31,EDMONSON,Edmonson,31,031,1825,BROWNSVILLE,Brownsville,61,SOUTH CENTRAL REGION,3,4,BARREN RIVER,2,SOUTH,Bowling Green,21061,S13
32,ELLIOTT,Elliott,32,032,1869,SANDY HOOK,Sandy Hook,63,NORTHEAST REGION,9,14,FIVCO,6,NORTH,Flemingsburg,21063,S28
33,ESTILL,Estill,33,033,1808,IRVINE,Irvine,65,BLUEGRASS REGION,10,9,BLUEGRASS,6,SOUTH,Jackson,21065,S46
34,FAYETTE,Fayette,34,034,1780,LEXINGTON,Lexington,67,BLUEGRASS REGION,7,9,BLUEGRASS,5,NORTH,Lexington,21067,S21
35,FLEMING,Fleming,35,035,1798,FLEMINGSBURG,Flemingsburg,69,NORTHEAST REGION,9,11,BUFFALO TRACE,6,NORTH,Flemingsburg,21069,S10
36,FLOYD,Floyd,36,036,1800,PRESTONSBURG,Prestonsburg,71,EAST REGION,12,15,BIG SANDY,10,SOUTH,Pikeville,21071,S37
37,FRANKLIN,Franklin,37,037,1795,FRANKFORT,Frankfort,73,BLUEGRASS REGION,5,9,BLUEGRASS,4,NORTH,Louisville,21073,S11
38,FULTON,Fulton,38,038,1845,HICKMAN,Hickman,75,WESTERN REGION,1,1,PURCHASE,1,SOUTH,Paducah,21075,S26
39,GALLATIN,Gallatin,39,039,1799,WARSAW,Warsaw,77,NORTHERN KENTUCKY REGION,6,8,NORTHERN KENTUCKY,9,NORTH,Covington,21077,S04
40,GARRARD,Garrard,40,040,1797,LANCASTER,Lancaster,79,BLUEGRASS REGION,7,9,BLUEGRASS,5,SOUTH,Lexington,21079,S38
41,GRANT,Grant,41,041,1820,WILLIAMSTOWN,Williamstown,81,NORTHERN KENTUCKY REGION,6,8,NORTHERN KENTUCKY,9,NORTH,Covington,21081,S06
42,GRAVES,Graves,42,042,1824,MAYFIELD,Mayfield,83,WESTERN REGION,1,1,PURCHASE,1,SOUTH,Paducah,21083,S26
43,GRAYSON,Grayson,43,043,1810,LEITCHFIELD,Leitchfield,85,SOUTH CENTRAL REGION,4,5,LINCOLN TRAIL,8,SOUTH,Elizabethtown,21085,S15
44,GREEN,Green,44,044,1793,GREENSBURG,Greensburg,87,SOUTH CENTRAL REGION,4,7,LAKE CUMBERLAND,3,SOUTH,Elizabethtown,21087,S05
